单价（元/平方米）,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积（平方米）,户型结构,建筑类型,房屋朝向,建筑结构,装修情况,配备电梯,挂牌时间,交易权属,房屋用途
13900.0,成华,猛追湾,3室2厅1厨2卫,中楼层 (共32层),123.95,平层,板楼,西北,框架结构,简装,有,2021-10-09,已购公房,普通住宅
9200.0,成华,猛追湾,3室1厅1厨1卫,中楼层 (共7层),76.51,平层,板楼,南 北,砖混结构,简装,无,2021-12-12,商品房,普通住宅
28700.0,成华,李家沱,3室2厅1厨2卫,中楼层 (共11层),135.34,平层,板塔结合,东南,框架结构,精装,有,2021-10-28,商品房,普通住宅
11500.0,成华,八里小区,2室1厅1厨1卫,中楼层 (共30层),56.19,平层,塔楼,东,框架结构,精装,有,2021-12-06,商品房,普通住宅
8200.0,成华,新华公园,1室1厅1厨1卫,低楼层 (共34层),50.79,平层,塔楼,西,钢混结构,简装,有,2021-06-01,商品房,普通住宅
12200.0,成华,驷马桥,3室2厅1厨1卫,低楼层 (共21层),82.08,平层,塔楼,东南,钢混结构,精装,有,2021-10-22,商品房,普通住宅
6300.0,成华,新华公园,2室1厅1厨1卫,中楼层 (共7层),60.6,平层,板楼,东,砖混结构,精装,无,2021-07-27,商品房,普通住宅
11000.0,成华,万年场,2室1厅1厨1卫,高楼层 (共11层),88.22,平层,板塔结合,东南,钢混结构,简装,有,2021-03-01,商品房,普通住宅
13000.0,成华,万年场,2室1厅1厨1卫,高楼层 (共18层),78.51,平层,板塔结合,东南,钢混结构,简装,有,2021-10-04,商品房,普通住宅
7900.0,成华,动物园,2室2厅1厨1卫,中楼层 (共6层),73.83,平层,板楼,南,钢混结构,毛坯,无,2021-09-20,拆迁安置房,普通住宅
15800.0,成华,李家沱,2室1厅1厨1卫,高楼层 (共33层),91.46,平层,板楼,西北,框架结构,精装,有,2021-10-07,经济适用房,普通住宅
20800.0,成华,万象城,2室1厅1厨1卫,高楼层 (共32层),90.59,平层,塔楼,西,钢混结构,精装,有,2021-07-27,商品房,普通住宅
11900.0,成华,动物园,2室1厅1厨1卫,中楼层 (共18层),77.23,平层,板塔结合,东,钢混结构,精装,有,2021-05-11,商品房,普通住宅
13100.0,成华,八里小区,2室1厅1厨1卫,低楼层 (共30层),64.13,平层,塔楼,东 东北,框架结构,精装,有,2021-10-23,商品房,普通住宅
9500.0,成华,驷马桥,2室1厅1厨1卫,中楼层 (共21层),49.99,平层,板塔结合,东南,钢混结构,精装,有,2021-09-10,商品房,普通住宅
10600.0,成华,动物园,2室1厅1厨1卫,中楼层 (共29层),59.2,平层,板塔结合,东,钢混结构,简装,有,2021-10-17,商品房,普通住宅
17600.0,成华,万象城,2室2厅1厨1卫,高楼层 (共32层),76,平层,塔楼,东,钢混结构,简装,有,2021-10-09,商品房,普通住宅
13600.0,成华,八里小区,2室2厅1厨1卫,高楼层 (共27层),89.14,平层,塔楼,南 北,框架结构,简装,有,2021-09-23,商品房,普通住宅
17800.0,成华,新华公园,3室2厅1厨1卫,中楼层 (共26层),83.41,平层,塔楼,西北,框架结构,精装,有,2021-09-23,商品房,普通住宅
14200.0,成华,八里小区,3室2厅1厨2卫,中楼层 (共6层),109.64,平层,板楼,东南 东北,钢混结构,简装,无,2021-11-12,商品房,普通住宅
14900.0,成华,驷马桥,3室1厅1厨1卫,中楼层 (共22层),90.82,平层,板塔结合,东北,钢混结构,精装,有,2021-10-26,商品房,普通住宅
14700.0,成华,理工大,3室1厅1厨1卫,高楼层 (共28层),69.81,平层,板塔结合,西南,钢混结构,精装,有,2021-09-22,商品房,普通住宅
